kreis;Y_2022;Y_2025;Y_2030;Y_2035;Y_2040;Y_2045
1001000;14;14;17;22;27;29
1002000;14;14;18;25;33;36
1003000;56;58;69;87;107;116
1004000;1;1;2;5;8;9
1051000;12616;12945;14458;17006;19877;21205
1053000;952;981;1118;1348;1607;1727
1054000;15340;15741;17588;20697;24200;25821
1055000;4839;4968;5565;6570;7702;8226
1056000;195;202;238;299;367;398
1057000;612;632;725;882;1058;1140
1058000;3064;3151;3555;4234;4999;5353
1059000;8233;8452;9462;11162;13077;13963
1060000;1110;1144;1301;1565;1862;2000
1061000;4639;4762;5329;6283;7358;7855
1062000;696;717;813;977;1160;1245
2000000;1090;1090;1090;1090;1194;1266
3101000;73;82;102;132;161;174
3102000;918;1009;1219;1518;1815;1945
3103000;166;184;226;285;344;370
3151000;1506;1667;2041;2572;3099;3329
3153000;244;277;354;464;573;621
3154000;1192;1314;1597;1998;2396;2570
3155000;633;707;878;1122;1363;1469
3157000;1320;1453;1761;2198;2632;2821
3158000;1013;1118;1362;1708;2051;2201
3159000;1166;1296;1599;2027;2453;2639
3241000;3697;4077;4959;6210;7452;7994
3251000;6504;7153;8656;10788;12904;13829
3252000;1298;1431;1741;2179;2615;2805
3254000;1299;1436;1756;2209;2658;2855
3255000;456;507;625;793;960;1033
3256000;3483;3834;4647;5799;6944;7444
3257000;686;759;928;1169;1407;1512
3351000;1757;1942;2372;2982;3587;3852
3352000;6797;7475;9045;11272;13483;14449
3353000;1367;1511;1847;2323;2795;3002
3354000;1112;1232;1509;1903;2295;2466
3355000;2098;2314;2815;3526;4231;4539
3356000;1183;1304;1584;1981;2376;2548
3357000;2555;2823;3444;4324;5198;5581
3358000;3151;3474;4224;5288;6343;6805
3359000;4097;4506;5453;6796;8130;8713
3360000;2350;2592;3152;3947;4737;5082
3361000;1542;1699;2063;2579;3091;3315
3401000;79;87;106;133;160;172
3402000;1247;1368;1650;2050;2447;2620
3403000;57;63;78;100;121;131
3404000;77;85;105;134;162;174
3405000;583;640;773;962;1149;1231
3451000;528;586;721;913;1104;1187
3452000;10368;11383;13736;17071;20382;21830
3453000;4055;4461;5403;6738;8063;8642
3454000;9493;10440;12634;15744;18832;20182
3455000;2703;2970;3590;4469;5342;5723
3456000;1476;1628;1982;2483;2981;3199
3457000;1972;2173;2641;3303;3961;4248
3458000;2378;2618;3176;3967;4751;5095
3459000;3837;4229;5138;6428;7707;8267
3460000;1435;1582;1922;2405;2884;3094
3461000;3025;3325;4022;5011;5992;6420
3462000;3507;3852;4653;5789;6916;7409
4011000;1076;1076;1076;1076;1122;1190
4012000;510;510;510;510;531;562
5111000;0;3;12;27;41;48
5112000;0;3;13;28;44;51
5113000;0;3;12;26;40;46
5114000;62;77;119;182;247;276
5116000;234;287;431;645;867;966
5117000;16;20;34;54;74;83
5119000;0;1;4;9;14;17
5120000;19;24;38;59;81;91
5122000;0;1;5;11;17;19
5124000;18;24;42;68;96;108
5154000;3873;4734;7044;10486;14047;15638
5158000;164;206;319;488;662;740
5162000;904;1109;1661;2483;3334;3714
5166000;822;1009;1513;2263;3039;3385
5170000;1258;1548;2326;3485;4685;5221
5314000;0;2;8;17;27;31
5315000;0;6;24;50;77;89
5316000;0;1;4;9;15;17
5334000;1949;2384;3549;5287;7085;7888
5358000;3212;3925;5837;8686;11634;12951
5362000;1729;2116;3153;4700;6300;7015
5366000;2032;2493;3731;5576;7485;8338
5370000;2098;2564;3813;5675;7601;8462
5374000;371;466;722;1103;1498;1674
5378000;38;53;94;155;219;247
5382000;61;92;178;305;437;496
5512000;186;205;240;285;325;342
5513000;29;32;39;48;56;59
5515000;574;632;741;879;1004;1055
5554000;5934;6527;7620;9020;10277;10790
5558000;2271;2502;2929;3476;3967;4168
5562000;1290;1422;1667;1980;2261;2376
5566000;5939;6535;7635;9044;10308;10824
5570000;3758;4137;4836;5730;6533;6861
5711000;125;139;165;199;230;242
5754000;702;778;920;1101;1264;1331
5758000;388;429;506;605;693;729
5762000;2383;2626;3075;3649;4165;4376
5766000;2135;2354;2759;3277;3742;3932
5770000;1402;1548;1819;2166;2477;2604
5774000;8406;9240;10777;12745;14511;15232
5911000;0;1;3;6;8;9
5913000;141;157;186;224;259;273
5914000;160;177;208;248;284;299
5915000;200;221;261;311;357;375
5916000;0;0;1;2;3;3
5954000;147;164;197;239;277;292
5958000;2519;2782;3267;3887;4445;4672
5962000;635;706;836;1004;1155;1216
5966000;390;434;515;619;713;751
5970000;744;826;978;1172;1346;1417
5974000;3745;4123;4819;5711;6512;6839
5978000;742;819;961;1143;1307;1374
6411000;0;1;2;5;7;8
6412000;19;22;30;39;47;51
6413000;0;0;1;1;2;3
6414000;0;1;4;8;12;13
6431000;296;330;395;478;552;582
6432000;240;268;322;390;452;477
6433000;0;3;10;19;27;30
6434000;284;315;374;449;517;544
6435000;2011;2219;2604;3096;3538;3719
6436000;0;1;5;9;13;15
6437000;261;291;348;421;486;512
6438000;0;2;8;15;21;24
6439000;470;522;620;744;856;902
6440000;546;608;724;871;1004;1058
6531000;296;323;383;466;547;582
6532000;1211;1310;1527;1827;2119;2245
6533000;889;961;1120;1340;1553;1646
6534000;1885;2037;2370;2831;3279;3473
6535000;4302;4642;5384;6413;7413;7845
6611000;0;0;1;3;5;5
6631000;513;560;663;805;944;1004
6632000;1094;1184;1382;1655;1921;2036
6633000;2074;2241;2606;3111;3603;3816
6634000;682;743;876;1061;1240;1318
6635000;2201;2381;2774;3318;3847;4076
6636000;927;1004;1172;1405;1632;1730
7111000;36;39;46;56;66;70
7131000;142;157;190;236;281;301
7132000;169;185;221;271;320;341
7133000;1184;1280;1490;1780;2063;2185
7134000;1183;1278;1487;1776;2057;2178
7135000;1302;1406;1634;1949;2256;2388
7137000;513;557;653;786;916;972
7138000;0;3;10;21;31;35
7140000;5140;5542;6420;7636;8819;9330
7141000;243;266;316;385;453;482
7143000;1623;1753;2039;2434;2818;2984
7211000;18;20;24;30;36;39
7231000;1648;1781;2073;2477;2870;3040
7232000;4129;4456;5172;6162;7126;7542
7233000;1763;1904;2212;2638;3053;3232
7235000;1472;1591;1853;2214;2566;2718
7311000;0;0;0;1;2;2
7312000;0;0;2;4;7;7
7313000;0;0;1;2;4;4
7314000;0;0;1;2;3;4
7315000;57;61;72;87;102;108
7316000;0;0;2;3;5;6
7317000;0;0;1;2;3;3
7318000;0;0;0;1;2;2
7319000;308;332;385;459;530;561
7320000;5;5;7;9;12;13
7331000;2981;3214;3723;4429;5115;5412
7332000;282;307;361;437;510;542
7333000;1952;2106;2443;2909;3362;3558
7334000;688;743;865;1033;1197;1267
7335000;807;872;1016;1215;1408;1492
7336000;1142;1233;1432;1708;1977;2093
7337000;357;388;455;549;641;680
7338000;327;353;412;494;573;607
7339000;936;1011;1176;1405;1627;1723
7340000;1022;1106;1289;1544;1791;1898
8111000;28;39;58;83;104;112
8115000;4;9;20;32;44;48
8116000;5;11;22;36;48;53
8117000;1039;1404;2039;2827;3512;3787
8118000;41;60;93;135;171;185
8119000;75;107;163;233;293;318
8121000;0;0;2;3;4;5
8125000;526;716;1048;1459;1816;1959
8126000;341;465;680;948;1180;1274
8127000;2175;2940;4272;5924;7359;7935
8128000;2430;3282;4765;6606;8204;8846
8135000;916;1238;1799;2495;3099;3342
8136000;1981;2679;3894;5401;6710;7236
8211000;0;1;2;5;6;7
8212000;68;92;136;189;236;255
8215000;36;56;91;136;174;189
8216000;0;5;14;26;36;40
8221000;0;0;2;3;5;6
8222000;16;22;34;48;60;65
8225000;760;1031;1504;2091;2601;2806
8226000;1;9;23;40;55;62
8231000;0;0;1;3;4;5
8235000;205;281;415;581;726;784
8236000;233;318;465;649;808;872
8237000;246;337;497;695;867;936
8311000;52;71;104;145;181;196
8315000;171;240;361;510;641;693
8316000;297;405;592;826;1028;1109
8317000;943;1283;1876;2612;3250;3507
8325000;407;553;809;1126;1401;1512
8326000;302;414;609;851;1062;1147
8327000;220;301;443;620;773;834
8335000;77;109;166;237;298;323
8336000;193;265;392;549;686;741
8337000;36;56;92;137;176;192
8415000;105;149;226;322;405;439
8416000;0;3;10;18;25;28
8417000;74;106;162;232;293;317
8421000;0;0;2;4;5;6
8425000;806;1095;1599;2224;2767;2985
8426000;55;84;135;199;254;276
8435000;0;4;13;23;32;36
8436000;28;49;87;134;174;191
8437000;202;280;418;588;736;795
9161000;14;26;48;74;97;106
9162000;36;68;123;190;248;271
9163000;21;38;67;103;134;146
9171000;17;36;70;112;147;161
9172000;0;9;24;43;60;66
9173000;17;42;86;140;186;205
9174000;162;298;531;816;1060;1157
9175000;38;74;136;213;278;304
9176000;997;1812;3200;4900;6354;6933
9177000;166;309;552;850;1106;1207
9178000;56;109;201;313;409;447
9179000;52;98;177;274;358;391
9180000;0;11;29;52;72;80
9181000;129;241;433;667;868;948
9182000;39;79;149;234;307;336
9183000;0;8;23;42;57;64
9184000;9;23;48;78;104;114
9185000;90;170;307;475;618;676
9186000;203;374;666;1024;1330;1452
9187000;35;78;153;245;323;354
9188000;104;193;344;529;688;751
9189000;117;227;416;647;845;924
9190000;38;79;149;234;308;337
9261000;10;18;33;51;67;73
9262000;0;0;2;3;5;5
9263000;0;0;1;3;4;5
9271000;0;9;25;45;61;68
9272000;74;144;263;410;535;585
9273000;128;242;437;676;881;962
9274000;274;509;909;1399;1819;1986
9275000;56;117;222;351;461;505
9276000;126;238;428;662;862;941
9277000;377;694;1234;1895;2461;2687
9278000;130;247;448;693;903;987
9279000;62;121;222;346;452;494
9361000;0;0;1;2;3;4
9362000;18;33;59;91;118;129
9363000;0;0;2;3;5;5
9371000;501;917;1627;2496;3239;3535
9372000;90;179;330;516;675;738
9373000;1450;2631;4642;7104;9211;10050
9374000;90;178;327;511;668;730
9375000;266;495;885;1363;1772;1934
9376000;245;458;820;1264;1644;1796
9377000;205;381;682;1051;1366;1492
9461000;0;0;1;2;3;4
9462000;0;0;1;3;4;5
9463000;0;0;1;2;3;3
9464000;0;0;1;3;4;4
9471000;735;1339;2367;3626;4704;5133
9472000;1091;1983;3500;5359;6949;7583
9473000;248;454;804;1233;1601;1747
9474000;21;44;85;135;178;195
9475000;2015;3646;6422;9821;12731;13889
9476000;266;487;863;1324;1718;1875
9477000;596;1082;1911;2925;3793;4139
9478000;130;240;427;657;854;932
9479000;622;1129;1992;3049;3953;4313
9561000;66;68;74;82;90;93
9562000;0;0;0;0;0;0
9563000;0;0;0;0;0;0
9564000;0;0;0;1;1;2
9565000;0;0;0;0;0;0
9571000;1301;1352;1467;1626;1782;1852
9572000;321;333;362;401;440;457
9573000;407;422;457;506;554;575
9574000;203;211;230;257;282;294
9575000;1155;1200;1300;1440;1577;1638
9576000;218;227;247;276;304;316
9577000;899;934;1012;1121;1228;1275
9661000;0;0;0;0;0;0
9662000;0;0;0;0;0;0
9663000;0;0;0;0;0;0
9671000;0;0;2;4;6;7
9672000;919;955;1035;1147;1256;1305
9673000;566;588;638;708;777;807
9674000;288;300;326;363;399;415
9675000;317;329;358;397;436;453
9676000;244;254;276;307;337;351
9677000;881;916;993;1101;1207;1253
9678000;881;915;991;1098;1202;1248
9679000;1403;1457;1578;1746;1911;1984
9761000;0;0;0;0;1;1
9762000;0;0;0;0;0;0
9763000;0;0;0;0;0;0
9764000;0;0;0;0;0;0
9771000;253;263;286;318;350;364
9772000;150;156;172;193;213;223
9773000;240;250;272;302;333;346
9774000;64;67;74;84;94;98
9775000;21;22;25;29;33;35
9776000;0;0;1;2;3;3
9777000;506;526;572;636;699;727
9778000;260;271;296;330;364;379
9779000;82;86;96;110;123;129
9780000;220;230;252;282;313;326
10041000;47;49;54;61;67;70
10042000;1228;1275;1380;1526;1669;1733
10043000;468;486;526;581;636;661
10044000;418;434;470;521;571;593
10045000;183;190;206;229;252;262
10046000;1462;1518;1642;1816;1986;2061
11000000;100;157;318;562;813;919
12051000;42;46;59;78;98;107
12052000;485;521;619;764;913;979
12053000;178;192;229;285;343;368
12054000;0;1;5;11;16;19
12060000;2489;2681;3195;3959;4746;5092
12061000;5442;5855;6958;8601;10291;11034
12062000;5104;5489;6519;8052;9630;10324
12063000;3313;3567;4245;5256;6296;6753
12064000;4519;4864;5785;7158;8570;9190
12065000;1123;1218;1473;1854;2245;2417
12066000;3342;3594;4268;5271;6304;6758
12067000;2101;2271;2725;3402;4098;4404
12068000;4453;4796;5712;7077;8481;9098
12069000;3733;4024;4802;5961;7153;7677
12070000;8193;8804;10439;12872;15376;16477
12071000;1958;2113;2527;3144;3778;4057
12072000;6457;6942;8239;10169;12156;13029
12073000;10243;11011;13062;16117;19260;20642
13003000;112;132;172;227;278;299
13004000;16;19;27;38;48;52
13071000;4626;5442;7080;9268;11322;12190
13072000;5616;6575;8500;11072;13486;14507
13073000;4228;4956;6418;8370;10203;10978
13074000;2217;2603;3378;4413;5385;5796
13075000;5999;7026;9089;11843;14429;15522
13076000;4706;5528;7178;9382;11452;12327
14511000;175;187;218;263;309;329
14521000;943;1011;1186;1441;1701;1815
14522000;2911;3106;3602;4329;5068;5392
14523000;328;355;425;528;632;677
14524000;851;909;1058;1277;1499;1596
14612000;0;1;5;11;17;19
14625000;1309;1403;1644;1996;2354;2511
14626000;1686;1803;2101;2538;2981;3176
14627000;1064;1138;1328;1606;1888;2011
14628000;837;898;1053;1280;1511;1613
14713000;225;240;280;339;398;424
14729000;1103;1181;1379;1669;1964;2094
14730000;1554;1662;1938;2342;2752;2932
15001000;96;103;121;148;176;188
15002000;0;0;2;4;7;8
15003000;110;117;138;167;197;211
15081000;3738;3987;4619;5546;6487;6899
15082000;3556;3789;4382;5250;6133;6519
15083000;6709;7147;8262;9893;11552;12277
15084000;4186;4459;5153;6170;7204;7656
15085000;1569;1678;1958;2366;2782;2964
15086000;2290;2443;2833;3403;3983;4237
15087000;3794;4042;4674;5598;6538;6949
15088000;4078;4344;5021;6013;7021;7462
15089000;5859;6239;7204;8618;10055;10683
15090000;5647;6018;6961;8342;9746;10360
15091000;3137;3346;3877;4654;5444;5790
16051000;520;676;957;1313;1626;1751
16052000;76;100;143;198;247;266
16053000;0;1;3;7;9;10
16054000;0;1;4;8;12;13
16055000;0;1;2;5;7;8
16056000;419;543;767;1051;1301;1400
16061000;611;802;1146;1581;1965;2116
16062000;491;644;919;1268;1575;1697
16063000;925;1212;1729;2384;2961;3189
16064000;1715;2231;3161;4337;5373;5783
16065000;1521;1981;2809;3857;4779;5145
16066000;36;61;107;166;217;238
16067000;1285;1674;2375;3262;4043;4352
16068000;1562;2031;2876;3945;4886;5259
16069000;100;140;214;306;388;420
16070000;137;186;277;390;491;530
16071000;815;1064;1513;2082;2582;2780
16072000;18;28;48;73;94;103
16073000;89;127;196;283;360;391
16074000;917;1196;1700;2337;2898;3120
16075000;531;701;1007;1394;1736;1871
16076000;450;592;849;1174;1460;1573
16077000;1055;1372;1943;2666;3302;3554
