BL;Y_2022;Y_2025;Y_2030;Y_2035;Y_2040;Y_2045
1;52381;53782;60258;71162;83442;89123
2;1090;1090;1090;1090;1194;1266
3;100483;110666;134289;167792;201047;215587
4;1586;1586;1586;1586;1653;1752
5;63805;72667;92646;120647;148145;160052
6;20201;21969;25705;30780;35637;37714
7;31429;33949;39483;47144;54602;57819
8;15094;20569;30135;42005;52309;56454
9;24031;34749;53298;76196;95979;103919
10;3806;3952;4278;4734;5181;5380
11;100;157;318;562;813;919
12;63175;67989;80861;100031;119754;128425
13;27520;32281;41842;54613;66603;71671
14;12986;13894;16217;19619;23074;24589
15;44769;47712;55205;66172;77325;82203
16;13273;17364;24745;34087;42312;45569
