kreis;Y_2022;Y_2025;Y_2030;Y_2035;Y_2040;Y_2045
1001000;544;517;491;466;444;425
1002000;1064;978;865;756;650;548
1003000;2460;2446;2422;2399;2378;2358
1004000;1029;1012;988;966;945;925
1051000;49108;48934;48373;47564;46693;46245
1053000;15144;14945;14608;14268;13943;13661
1054000;73300;73125;72684;72124;71551;71237
1055000;17030;16953;16739;16459;16169;15999
1056000;19647;19543;19376;19211;19058;18934
1057000;15662;15605;15497;15375;15259;15166
1058000;53504;53333;52973;52587;52224;51971
1059000;45613;45415;44977;44497;44041;43754
1060000;27327;27284;27195;27082;26978;26913
1061000;37848;37800;37615;37340;37052;36932
1062000;13241;13155;12996;12831;12671;12528
2000000;10187;9979;9620;9263;8858;8467
3101000;1518;1459;1400;1341;1288;1236
3102000;445;385;273;132;0;0
3103000;2207;2183;2167;2155;2139;2123
3151000;18012;17794;17400;16994;16593;16254
3153000;5832;5776;5628;5483;5372;5289
3154000;4581;4436;4187;3939;3699;3466
3155000;13416;13374;13290;13204;13130;13089
3157000;4786;4697;4512;4282;4065;3936
3158000;2448;2376;2235;2095;1973;1866
3159000;17368;17287;17181;17083;16999;16963
3241000;24507;24004;22993;21961;20996;20177
3251000;33004;32714;32135;31466;30850;30474
3252000;5557;5505;5418;5319;5237;5185
3254000;5549;5414;5168;4907;4659;4456
3255000;9366;9292;9153;9019;8891;8777
3256000;19730;19279;18450;17545;16654;15947
3257000;6477;6323;6041;5753;5482;5247
3351000;17081;16990;16784;16561;16365;16238
3352000;97262;96773;95823;94712;93639;92914
3353000;24935;24839;24660;24443;24248;24157
3354000;16219;16115;15934;15758;15593;15434
3355000;19471;19289;18966;18621;18289;18007
3356000;31962;31451;30548;29619;28722;27919
3357000;66021;65568;64742;63852;62982;62259
3358000;24258;23024;20924;18808;16694;14670
3359000;39096;38907;38521;38056;37617;37326
3360000;9808;9287;8356;7393;6449;5582
3361000;21572;21437;21184;20910;20653;20455
3401000;1949;1926;1907;1888;1871;1856
3402000;3375;3309;3180;3031;2889;2789
3403000;2448;2390;2308;2235;2166;2108
3404000;1191;1153;1089;1024;966;911
3405000;3100;3083;3051;3013;2979;2959
3451000;31162;31027;30765;30501;30264;30088
3452000;52166;51745;50891;49870;48890;48278
3453000;17600;17315;16782;16210;15659;15250
3454000;26597;25233;22800;20164;17579;15474
3455000;29942;29850;29676;29476;29287;29160
3456000;16917;16502;15862;15200;14569;14034
3457000;65525;65295;64854;64383;63940;63585
3458000;21197;20961;20513;20041;19598;19251
3459000;29208;28967;28465;27875;27336;26970
3460000;7587;7475;7259;7027;6810;6656
3461000;59020;58873;58599;58293;58001;57791
3462000;29400;29282;29047;28763;28489;28324
4011000;8302;8161;7985;7814;7623;7424
4012000;1344;1316;1294;1275;1252;1228
5111000;1639;1474;1218;969;720;478
5112000;2248;2003;1613;1220;833;449
5113000;1214;1015;695;381;75;0
5114000;1218;1127;1014;900;797;703
5116000;876;757;571;362;158;3
5117000;952;941;930;918;908;899
5119000;448;341;186;29;0;0
5120000;1323;1292;1251;1210;1170;1132
5122000;1327;1154;939;723;517;319
5124000;2527;2400;2218;2037;1877;1736
5154000;24156;23842;23213;22482;21769;21307
5158000;5405;5239;4977;4709;4445;4197
5162000;2978;2535;1804;1080;370;0
5166000;4973;4872;4667;4434;4213;4052
5170000;22364;21888;21031;20140;19265;18484
5314000;718;637;482;331;183;49
5315000;1302;1084;737;402;58;0
5316000;1198;1137;1045;952;862;774
5334000;17331;16992;16537;16029;15536;15185
5358000;7133;6755;6128;5405;4694;4191
5362000;2492;2342;2052;1707;1364;1127
5366000;32311;32145;31841;31480;31130;30920
5370000;5250;5149;4924;4635;4358;4210
5374000;34682;34607;34476;34333;34195;34089
5378000;13397;13332;13220;13111;13007;12911
5382000;27598;27445;27188;26927;26692;26492
5512000;1001;915;774;631;491;360
5513000;471;392;278;163;54;0
5515000;3144;2958;2634;2285;1958;1667
5554000;15585;15279;14752;14206;13688;13267
5558000;9584;9464;9260;9049;8850;8689
5562000;7475;6937;6062;5174;4312;3484
5566000;23381;22609;21297;19956;18649;17442
5570000;12209;11980;11585;11173;10792;10485
5711000;3096;3018;2880;2742;2615;2500
5754000;16910;16659;16213;15767;15339;14945
5758000;4883;4650;4280;3906;3543;3195
5762000;16780;16520;16019;15503;15050;14700
5766000;13944;13779;13495;13200;12941;12741
5770000;15910;15476;14878;14267;13714;13234
5774000;17280;17093;16784;16442;16143;15983
5911000;661;481;124;0;0;0
5913000;1555;1508;1477;1447;1409;1381
5914000;1801;1730;1617;1498;1386;1281
5915000;3050;2971;2842;2709;2581;2462
5916000;147;86;0;0;0;0
5954000;10118;10066;9968;9867;9775;9692
5958000;42490;42392;42237;42069;41949;41931
5962000;22432;22204;21832;21441;21068;20724
5966000;15260;15260;15246;15230;15226;15239
5970000;21979;22034;22124;22210;22303;22411
5974000;14459;14221;13809;13384;12983;12649
5978000;6399;6064;5516;4967;4416;3881
6411000;761;747;731;717;703;691
6412000;724;654;518;403;300;207
6413000;202;192;173;154;137;122
6414000;1176;1129;1062;996;933;875
6431000;14040;13966;13837;13715;13606;13508
6432000;7642;7578;7488;7402;7323;7254
6433000;3580;3510;3402;3291;3172;3056
6434000;5952;5930;5895;5863;5836;5820
6435000;29362;29168;28805;28441;28094;27786
6436000;2053;2014;1951;1887;1822;1759
6437000;13942;13878;13743;13613;13497;13395
6438000;3150;3051;2872;2695;2531;2381
6439000;7833;7789;7710;7632;7560;7503
6440000;15215;15058;14778;14479;14201;13965
6531000;14536;14451;14293;14141;13994;13867
6532000;23286;23039;22610;22177;21756;21368
6533000;12045;11977;11852;11723;11606;11518
6534000;22850;22730;22468;22186;21929;21741
6535000;40544;40369;40017;39631;39272;39018
6611000;736;716;681;649;623;601
6631000;40689;40572;40331;40091;39870;39684
6632000;19042;18975;18822;18661;18520;18426
6633000;14730;14621;14418;14207;14014;13867
6634000;19788;19671;19453;19229;19021;18845
6635000;34404;34180;33745;33297;32880;32530
6636000;16480;16429;16314;16184;16068;15998
7111000;835;814;780;750;725;704
7131000;14897;14834;14730;14627;14541;14473
7132000;16025;15979;15903;15828;15765;15713
7133000;11911;11744;11494;11245;11003;10779
7134000;15396;15296;15136;14959;14797;14690
7135000;6555;6476;6319;6155;6006;5897
7137000;7292;7167;6942;6719;6532;6383
7138000;13589;13437;13191;12947;12750;12591
7140000;13112;13011;12814;12564;12336;12236
7141000;9731;9644;9505;9364;9236;9123
7143000;30615;30502;30309;30113;29939;29813
7211000;1021;953;830;721;638;578
7231000;20766;20669;20484;20293;20130;20033
