kreis;Y_2022;Y_2025;Y_2030;Y_2035;Y_2040;Y_2045
1001000;612;622;641;659;677;696
1002000;1219;1287;1401;1515;1629;1744
1003000;4067;4072;4081;4090;4100;4109
1004000;519;527;540;553;566;580
1051000;6020;6086;6196;6306;6416;6526
1053000;35768;35978;36329;36680;37030;37381
1054000;9084;9121;9185;9248;9311;9375
1055000;15859;15877;15907;15937;15967;15997
1056000;5965;6007;6078;6149;6219;6290
1057000;13749;13792;13863;13935;14007;14078
1058000;28506;28598;28751;28904;29058;29211
1059000;15765;15844;15975;16107;16239;16370
1060000;24414;24375;24311;24247;24183;24118
1061000;10350;10303;10224;10146;10068;9989
1062000;12034;12118;12258;12398;12538;12678
2000000;5949;6102;6357;6612;6867;7122
3101000;2590;2602;2624;2646;2667;2689
3102000;3902;3921;3952;3984;4015;4047
3103000;5183;5188;5197;5206;5216;5225
3151000;55857;56089;56476;56864;57251;57639
3153000;56863;56830;56776;56722;56668;56615
3154000;17568;17774;18119;18464;18809;19154
3155000;50549;50536;50516;50495;50474;50454
3157000;5430;5457;5502;5547;5592;5637
3158000;13971;14009;14073;14137;14202;14266
3159000;76576;76520;76426;76333;76240;76147
3241000;46574;46926;47514;48101;48689;49276
3251000;18967;19056;19204;19352;19501;19649
3252000;26349;26339;26322;26306;26289;26273
3254000;30480;30576;30736;30896;31056;31216
3255000;33141;33202;33303;33405;33507;33609
3256000;25124;25645;26513;27381;28250;29118
3257000;18123;18254;18473;18692;18911;19131
3351000;74671;74677;74687;74698;74708;74719
3352000;17391;17768;18397;19026;19655;20285
3353000;36476;36402;36281;36159;36037;35916
3354000;47177;47299;47504;47709;47914;48119
3355000;45065;45237;45524;45811;46098;46385
3356000;8653;9293;10359;11426;12493;13559
3357000;33759;34299;35200;36101;37001;37902
3358000;80134;82007;85128;88250;91372;94494
3359000;9469;9578;9759;9941;10123;10304
3360000;54480;55167;56313;57460;58606;59752
3361000;10511;10645;10869;11093;11318;11542
3401000;188;198;217;235;254;272
3402000;166;210;283;356;430;503
3403000;559;581;620;658;696;735
3404000;2209;2218;2234;2250;2265;2281
3405000;403;405;408;411;415;418
3451000;7280;7351;7470;7589;7709;7828
3452000;4992;5208;5568;5928;6288;6648
3453000;17394;17647;18070;18492;18915;19337
3454000;51959;53585;56296;59007;61717;64428
3455000;4211;4271;4373;4475;4576;4678
3456000;15193;15597;16271;16945;17619;18294
3457000;2651;2895;3304;3712;4121;4529
3458000;20282;20516;20908;21300;21691;22083
3459000;43527;43648;43852;44055;44258;44462
3460000;10257;10321;10427;10534;10641;10747
3461000;1043;1141;1306;1471;1636;1801
3462000;3976;4039;4146;4253;4359;4466
4011000;1038;1173;1399;1625;1851;2076
4012000;406;406;407;408;409;409
5111000;3236;3390;3646;3903;4160;4416
5112000;2862;3169;3683;4196;4710;5223
5113000;3691;3914;4285;4657;5028;5400
5114000;1339;1372;1428;1484;1539;1595
5116000;1991;2057;2167;2277;2387;2497
5117000;1811;1810;1809;1808;1807;1807
5119000;1360;1443;1581;1719;1858;1996
5120000;2512;2537;2581;2624;2667;2710
5122000;2673;2791;2987;3184;3381;3577
5124000;4984;4994;5012;5029;5047;5064
5154000;17723;17897;18188;18479;18770;19060
5158000;8825;9009;9317;9624;9932;10239
5162000;5894;6497;7504;8511;9518;10524
5166000;10813;10844;10897;10949;11002;11054
5170000;19224;19824;20825;21826;22826;23827
5314000;4477;4535;4633;4731;4829;4927
5315000;7057;7314;7744;8175;8605;9035
5316000;1179;1244;1352;1460;1569;1677
5334000;22669;22842;23130;23419;23707;23995
5358000;20177;20462;20938;21414;21890;22365
5362000;10493;10590;10751;10913;11075;11236
5366000;49185;49253;49367;49481;49594;49708
5370000;7202;7215;7236;7258;7280;7301
5374000;39051;39087;39147;39207;39267;39328
5378000;17051;17111;17212;17314;17415;17516
5382000;37654;37712;37808;37905;38002;38099
5512000;2781;2885;3060;3235;3410;3585
5513000;1625;1693;1806;1919;2033;2146
5515000;5405;5587;5890;6193;6497;6800
5554000;20309;20616;21129;21641;22154;22666
5558000;17380;17488;17668;17848;18028;18208
5562000;22213;22913;24081;25248;26416;27583
5566000;25575;26652;28449;30246;32043;33839
5570000;16647;16838;17157;17476;17795;18115
